Station,Date & Time (Winter),Total clouds cover (code),Total low clouds cover (code),Low clouds base (code),Low clouds type (code),Medium clouds type (code),Hight clouds type (code),Visibility (code)
Bet Dagan Man 01/1964-11/2022,29/03/2016 17:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/03/2016 20:00,3,3,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/03/2016 23:00,3,3,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 02:00,4,4,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 05:00,6,6,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 08:00,5,5,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 11:00,5,5,5,8,0,0,65
Bet Dagan Man 01/1964-11/2022,30/03/2016 14:00,2,2,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/03/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 20:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,30/03/2016 23:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,31/03/2016 02:00,3,3,5,4,0,0,60
Bet Dagan Man 01/1964-11/2022,31/03/2016 05:00,1,1,5,4,0,0,60
Bet Dagan Man 01/1964-11/2022,31/03/2016 08:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,31/03/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,31/03/2016 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,31/03/2016 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,31/03/2016 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,31/03/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/04/2016 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/04/2016 11:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,01/04/2016 14:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,01/04/2016 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,01/04/2016 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,01/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/04/2016 08:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,02/04/2016 11:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,02/04/2016 14:00,5,0,9,0,0,6,70
Bet Dagan Man 01/1964-11/2022,02/04/2016 17:00,6,0,9,0,0,6,70
Bet Dagan Man 01/1964-11/2022,02/04/2016 20:00,3,0,9,0,0,5,65
Bet Dagan Man 01/1964-11/2022,02/04/2016 23:00,3,0,9,0,0,5,65
Bet Dagan Man 01/1964-11/2022,03/04/2016 02:00,2,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,03/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,03/04/2016 08:00,3,0,9,0,0,5,65
Bet Dagan Man 01/1964-11/2022,03/04/2016 11:00,2,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,03/04/2016 14:00,2,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,03/04/2016 17:00,6,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,03/04/2016 20:00,4,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,03/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 02:00,2,2,3,6,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 05:00,2,2,4,6,0,0,40
Bet Dagan Man 01/1964-11/2022,04/04/2016 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 20:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,04/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 05:00,7,7,2,6,10,10,50
Bet Dagan Man 01/1964-11/2022,05/04/2016 08:00,7,5,9,0,7,2,59
Bet Dagan Man 01/1964-11/2022,05/04/2016 11:00,6,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 14:00,6,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 17:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,05/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/04/2016 08:00,5,0,9,0,0,2,50
Bet Dagan Man 01/1964-11/2022,06/04/2016 11:00,6,0,9,0,0,2,57
Bet Dagan Man 01/1964-11/2022,06/04/2016 14:00,6,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,06/04/2016 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,06/04/2016 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,06/04/2016 23:00,0,0,9,0,0,0,59
Bet Dagan Man 01/1964-11/2022,07/04/2016 02:00,3,3,3,6,0,0,15
Bet Dagan Man 01/1964-11/2022,07/04/2016 05:00,8,8,0,10,10,10,5
Bet Dagan Man 01/1964-11/2022,07/04/2016 08:00,6,6,2,6,0,0,50
Bet Dagan Man 01/1964-11/2022,07/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,07/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,07/04/2016 17:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,07/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,07/04/2016 23:00,0,0,9,0,0,0,59
Bet Dagan Man 01/1964-11/2022,08/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 05:00,1,1,6,5,0,0,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 08:00,1,0,9,0,0,9,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 20:00,4,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,08/04/2016 23:00,6,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 02:00,6,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 05:00,7,3,9,0,3,6,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 08:00,8,4,9,0,7,8,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 11:00,8,4,9,0,7,8,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 14:00,8,4,9,0,7,8,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 17:00,7,3,9,0,7,6,60
Bet Dagan Man 01/1964-11/2022,09/04/2016 20:00,7,0,9,0,0,6,59
Bet Dagan Man 01/1964-11/2022,09/04/2016 23:00,7,3,9,0,8,8,60
Bet Dagan Man 01/1964-11/2022,10/04/2016 02:00,6,2,9,0,8,6,60
Bet Dagan Man 01/1964-11/2022,10/04/2016 05:00,6,5,9,0,7,2,59
Bet Dagan Man 01/1964-11/2022,10/04/2016 08:00,7,1,9,0,1,6,59
Bet Dagan Man 01/1964-11/2022,10/04/2016 11:00,6,6,9,0,7,0,59
Bet Dagan Man 01/1964-11/2022,10/04/2016 14:00,6,4,9,0,7,1,59
Bet Dagan Man 01/1964-11/2022,10/04/2016 17:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,10/04/2016 20:00,2,1,5,1,3,0,60
Bet Dagan Man 01/1964-11/2022,10/04/2016 23:00,2,2,3,6,0,0,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 02:00,1,1,4,1,0,0,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 05:00,1,1,5,1,3,1,59
Bet Dagan Man 01/1964-11/2022,11/04/2016 08:00,7,2,9,0,3,6,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 11:00,6,2,9,0,3,6,59
Bet Dagan Man 01/1964-11/2022,11/04/2016 14:00,4,3,5,1,6,2,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 17:00,1,1,9,0,1,0,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 20:00,3,3,4,1,0,0,60
Bet Dagan Man 01/1964-11/2022,11/04/2016 23:00,4,4,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 02:00,2,2,5,4,0,0,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 05:00,7,7,5,2,10,10,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 08:00,5,5,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 11:00,7,7,5,8,10,10,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 14:00,7,7,5,3,10,10,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 17:00,7,2,5,1,7,1,60
Bet Dagan Man 01/1964-11/2022,12/04/2016 20:00,5,5,5,8,3,0,65
Bet Dagan Man 01/1964-11/2022,12/04/2016 23:00,2,2,4,4,0,0,65
Bet Dagan Man 01/1964-11/2022,13/04/2016 02:00,6,6,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,13/04/2016 05:00,7,7,4,3,10,10,60
Bet Dagan Man 01/1964-11/2022,13/04/2016 08:00,6,3,4,8,3,1,60
Bet Dagan Man 01/1964-11/2022,13/04/2016 11:00,6,6,4,8,0,0,60
Bet Dagan Man 01/1964-11/2022,13/04/2016 14:00,5,4,6,1,3,1,65
Bet Dagan Man 01/1964-11/2022,13/04/2016 17:00,6,6,6,2,0,0,65
Bet Dagan Man 01/1964-11/2022,13/04/2016 20:00,6,6,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,13/04/2016 23:00,6,6,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 02:00,6,6,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 05:00,4,4,5,2,0,0,58
Bet Dagan Man 01/1964-11/2022,14/04/2016 08:00,3,2,5,8,3,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 11:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 14:00,3,3,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 17:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 20:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,14/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,15/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,15/04/2016 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,15/04/2016 08:00,2,0,9,0,0,1,70
Bet Dagan Man 01/1964-11/2022,15/04/2016 11:00,1,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,15/04/2016 14:00,3,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,15/04/2016 17:00,6,0,9,0,0,6,70
Bet Dagan Man 01/1964-11/2022,15/04/2016 20:00,3,0,9,0,0,8,60
Bet Dagan Man 01/1964-11/2022,15/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 08:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,16/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,16/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,17/04/2016 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,17/04/2016 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,17/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,18/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,18/04/2016 05:00,7,7,4,5,10,10,59
Bet Dagan Man 01/1964-11/2022,18/04/2016 08:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,18/04/2016 11:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,18/04/2016 14:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,18/04/2016 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,18/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,18/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,19/04/2016 02:00,7,7,4,6,10,10,58
Bet Dagan Man 01/1964-11/2022,19/04/2016 05:00,7,7,4,6,10,10,58
Bet Dagan Man 01/1964-11/2022,19/04/2016 08:00,0,0,9,0,0,0,58
Bet Dagan Man 01/1964-11/2022,19/04/2016 11:00,0,0,9,0,0,0,59
Bet Dagan Man 01/1964-11/2022,19/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,19/04/2016 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,19/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,19/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 05:00,0,0,9,0,0,0,59
Bet Dagan Man 01/1964-11/2022,20/04/2016 08:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,20/04/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,20/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 05:00,2,0,9,0,0,1,59
Bet Dagan Man 01/1964-11/2022,21/04/2016 08:00,2,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 11:00,3,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 14:00,3,0,9,0,0,5,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 17:00,2,0,9,0,0,4,65
Bet Dagan Man 01/1964-11/2022,21/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,21/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,22/04/2016 02:00,1,1,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,22/04/2016 05:00,1,1,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,22/04/2016 08:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,22/04/2016 11:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,22/04/2016 14:00,2,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,22/04/2016 17:00,7,0,9,0,0,6,65
Bet Dagan Man 01/1964-11/2022,22/04/2016 20:00,7,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,22/04/2016 23:00,6,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 02:00,4,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 05:00,6,6,4,6,0,0,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 11:00,4,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 14:00,6,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 17:00,7,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 20:00,7,0,9,0,0,8,60
Bet Dagan Man 01/1964-11/2022,23/04/2016 23:00,1,0,9,0,0,8,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 05:00,2,0,9,0,0,2,58
Bet Dagan Man 01/1964-11/2022,24/04/2016 08:00,2,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 11:00,4,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 14:00,2,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,24/04/2016 23:00,1,1,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,25/04/2016 02:00,1,1,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,25/04/2016 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,25/04/2016 08:00,5,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,25/04/2016 11:00,7,0,9,0,0,8,65
Bet Dagan Man 01/1964-11/2022,25/04/2016 14:00,6,0,9,0,0,6,65
Bet Dagan Man 01/1964-11/2022,25/04/2016 17:00,3,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,25/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,25/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 05:00,1,1,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 08:00,4,4,9,0,3,0,65
Bet Dagan Man 01/1964-11/2022,26/04/2016 11:00,1,1,9,0,3,0,65
Bet Dagan Man 01/1964-11/2022,26/04/2016 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 20:00,4,4,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,26/04/2016 23:00,3,3,9,0,7,0,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 02:00,7,7,4,2,10,10,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 05:00,7,7,4,8,10,10,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 08:00,7,7,4,8,10,10,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 11:00,5,5,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 14:00,6,4,5,1,0,4,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 17:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 20:00,6,6,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,27/04/2016 23:00,5,5,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 02:00,4,4,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 05:00,6,6,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 08:00,6,6,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 11:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 14:00,3,3,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 17:00,2,2,6,5,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 20:00,2,2,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/04/2016 23:00,5,5,6,6,0,0,60
Bet Dagan Man 01/1964-11/2022,29/04/2016 02:00,4,4,5,6,0,0,60
Bet Dagan Man 01/1964-11/2022,29/04/2016 05:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/04/2016 08:00,4,4,5,5,0,0,65
Bet Dagan Man 01/1964-11/2022,29/04/2016 11:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/04/2016 14:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/04/2016 17:00,2,1,5,5,0,1,65
Bet Dagan Man 01/1964-11/2022,29/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,29/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 05:00,3,1,4,6,0,5,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 08:00,2,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 11:00,4,3,9,0,3,1,65
Bet Dagan Man 01/1964-11/2022,30/04/2016 14:00,2,1,9,0,3,1,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,30/04/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 05:00,2,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 08:00,3,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 14:00,4,4,4,5,0,0,56
Bet Dagan Man 01/1964-11/2022,01/05/2016 17:00,2,2,4,5,0,0,57
Bet Dagan Man 01/1964-11/2022,01/05/2016 20:00,4,4,4,4,0,0,60
Bet Dagan Man 01/1964-11/2022,01/05/2016 23:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 02:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 05:00,4,4,5,4,0,0,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 08:00,7,7,5,1,10,10,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 11:00,3,2,5,1,0,1,70
Bet Dagan Man 01/1964-11/2022,02/05/2016 14:00,2,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 17:00,2,1,5,4,0,1,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/05/2016 23:00,6,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 02:00,6,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 05:00,6,6,9,0,7,0,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 08:00,7,1,7,4,7,0,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 11:00,7,7,9,0,7,10,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 14:00,6,4,9,0,7,2,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 17:00,2,1,9,0,7,1,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 20:00,5,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,03/05/2016 23:00,1,0,9,0,0,1,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 02:00,5,0,9,0,0,2,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 05:00,7,7,4,8,10,10,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 08:00,5,2,5,4,3,0,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 11:00,5,2,5,1,0,1,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 14:00,7,3,5,1,0,6,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 17:00,6,3,5,1,0,6,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 20:00,5,0,9,0,0,6,60
Bet Dagan Man 01/1964-11/2022,04/05/2016 23:00,6,3,5,4,0,6,60
Bet Dagan Man 01/1964-11/2022,05/05/2016 02:00,3,1,4,4,0,2,60
Bet Dagan Man 01/1964-11/2022,05/05/2016 05:00,2,2,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,05/05/2016 08:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,05/05/2016 11:00,1,1,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,05/05/2016 14:00,2,0,9,0,0,2,70
Bet Dagan Man 01/1964-11/2022,05/05/2016 17:00,3,0,9,0,0,2,70
Bet Dagan Man 01/1964-11/2022,05/05/2016 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,05/05/2016 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 05:00,5,5,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 08:00,6,6,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 11:00,4,4,5,2,0,0,70
Bet Dagan Man 01/1964-11/2022,06/05/2016 14:00,5,4,5,2,3,0,70
Bet Dagan Man 01/1964-11/2022,06/05/2016 17:00,6,4,5,1,0,4,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 20:00,4,3,5,1,0,4,60
Bet Dagan Man 01/1964-11/2022,06/05/2016 23:00,4,3,5,4,0,4,60
Bet Dagan Man 01/1964-11/2022,07/05/2016 02:00,5,2,5,4,0,4,60
Bet Dagan Man 01/1964-11/2022,07/05/2016 05:00,6,2,5,2,0,6,60
